condition,n,accuracy,mean_confidence,ECE,MCE,Brier,overconfidence,oracle_T,ECE_after_T,MCE_after_T,Brier_after_T,acc_at_25pct_coverage,acc_at_50pct_coverage,acc_at_75pct_coverage
v3c_rn50_baseline_seed42_patient,561,0.8502673796791443,0.797452145046734,0.10828379788679508,0.3840707733156193,0.2651365305118723,-0.052815234632410335,1.35,0.10216778254538658,0.3445401138063008,0.2707269058606528,0.9714285714285714,0.95,0.9
v3c_roi_baseline_seed42_patient,463,0.8747300215982722,0.7962742177012371,0.08202119137398821,0.28582137280582826,0.19805357067008994,-0.0784558038970351,0.65,0.034980010048055045,0.16775708913445309,0.18791695010793458,1.0,0.9956709956709957,0.9654178674351584
v3c_focal_seed42_patient,561,0.8609625668449198,0.7443025782858126,0.11665998855910713,0.3279367481586989,0.2643991415219318,-0.1166599885591072,0.7,0.08456433096640074,0.36726008315972897,0.24882390558348727,0.9714285714285714,0.9428571428571428,0.9047619047619048
v3c_dann_seed42_patient,561,0.6381461675579323,0.5376114625169925,0.115867770553112,0.3238376487045356,0.5109222897038838,-0.10053470504093975,0.7,0.08880591374395463,0.7383962505398213,0.5013115461047415,0.8142857142857143,0.7357142857142858,0.6714285714285714
v3c_mh_both_seed42_patient,561,0.8163992869875223,0.5810204059777742,0.245140924810482,0.34572196053793036,0.40423847740151664,-0.23537888100974813,0.5,0.16048229990771268,0.3082097809482368,0.33726263252293165,0.8928571428571429,0.8785714285714286,0.8857142857142857
