bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,2,0.3222168076842696,0.5,0.17778319231573042
0.3333333333333333,0.4,24,0.3684314698065558,0.5416666666666666,0.17323519686011085
0.4,0.4666666666666667,20,0.4387569457712582,0.55,0.11124305422874187
0.4666666666666667,0.5333333333333333,66,0.5075680414282379,0.5757575757575758,0.06818953432933794
0.5333333333333333,0.6,43,0.5590655987229896,0.6744186046511628,0.11535300592817321
0.6,0.6666666666666666,49,0.6455766999970036,0.7959183673469388,0.15034166734993515
0.6666666666666666,0.7333333333333333,14,0.6996679187595358,0.42857142857142855,0.2710964901881073
0.7333333333333333,0.8,6,0.7582759297405274,0.8333333333333334,0.075057403592806
0.8,0.8666666666666667,14,0.848552554569452,0.7857142857142857,0.0628382688551663
0.8666666666666667,0.9333333333333333,10,0.8927637566285801,0.7,0.19276375662858014
0.9333333333333333,1.0,232,0.9937103227497758,0.9913793103448276,0.0023310124049481518
