bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,11,0.26401447666389743,0.45454545454545453,0.1905309778815571
0.26666666666666666,0.3333333333333333,63,0.2952099703430835,0.6190476190476191,0.3238376487045356
0.3333333333333333,0.4,50,0.373038078818607,0.5,0.126961921181393
0.4,0.4666666666666667,98,0.4342961199846562,0.5306122448979592,0.09631612491330299
0.4666666666666667,0.5333333333333333,120,0.4996619772165845,0.55,0.05033802278341554
0.5333333333333333,0.6,51,0.5600829180548433,0.6862745098039216,0.12619159174907824
0.6,0.6666666666666666,48,0.6301848138113627,0.7083333333333334,0.07814851952197066
0.6666666666666666,0.7333333333333333,29,0.6999636619653814,0.7241379310344828,0.024174269069101362
0.7333333333333333,0.8,21,0.7645503743578691,0.9523809523809523,0.18783057802308323
0.8,0.8666666666666667,21,0.8272576018547756,0.8095238095238095,0.01773379233096606
0.8666666666666667,0.9333333333333333,16,0.903547082080053,1.0,0.09645291791994703
0.9333333333333333,1.0,33,0.9675307647640616,0.8484848484848485,0.11904591627921313
