bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,0,,,
0.3333333333333333,0.4,9,0.3669949081801678,0.6666666666666666,0.29967175848649885
0.4,0.4666666666666667,19,0.434979016129621,0.6842105263157895,0.24923151018616851
0.4666666666666667,0.5333333333333333,73,0.5030339890941681,0.5753424657534246,0.07230847665925655
0.5333333333333333,0.6,30,0.5645034624544623,0.7666666666666667,0.20216320421220446
0.6,0.6666666666666666,20,0.6377211996852589,0.65,0.012278800314741156
0.6666666666666666,0.7333333333333333,23,0.7044226939558996,0.6086956521739131,0.09572704178198654
0.7333333333333333,0.8,32,0.7700887877663201,0.75,0.02008878776632006
0.8,0.8666666666666667,29,0.8388360278937977,0.7586206896551724,0.08021533823862537
0.8666666666666667,0.9333333333333333,36,0.9057479810661424,0.7777777777777778,0.12797020328836461
0.9333333333333333,1.0,290,0.9904531884726786,0.896551724137931,0.09390146433474755
