bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,0,,,
0.3333333333333333,0.4,11,0.3727381066915378,0.5454545454545454,0.17271643876300763
0.4,0.4666666666666667,26,0.4423651013982236,0.6153846153846154,0.17301951398639182
0.4666666666666667,0.5333333333333333,89,0.5050762790416004,0.6853932584269663,0.18031697938536595
0.5333333333333333,0.6,46,0.5682088709137949,0.717391304347826,0.14918243343403115
0.6,0.6666666666666666,26,0.6337702664854312,0.8461538461538461,0.21238357966841492
0.6666666666666666,0.7333333333333333,26,0.7052234879864943,0.8076923076923077,0.10246881970581345
0.7333333333333333,0.8,39,0.768886208713188,0.8717948717948718,0.10290866308168378
0.8,0.8666666666666667,33,0.8301521406939893,0.8787878787878788,0.048635738093889436
0.8666666666666667,0.9333333333333333,65,0.9023570125235252,0.8615384615384616,0.040818550985063595
0.9333333333333333,1.0,200,0.9866220723575789,0.915,0.07162207235757889
