bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,0,,,
0.3333333333333333,0.4,13,0.36580394194831356,0.46153846153846156,0.095734519590148
0.4,0.4666666666666667,15,0.44308530996224216,0.6,0.15691469003775782
0.4666666666666667,0.5333333333333333,103,0.5048882054785967,0.7184466019417476,0.2135583964631509
0.5333333333333333,0.6,38,0.5625120492577657,0.7894736842105263,0.22696163495276067
0.6,0.6666666666666666,32,0.6285553553249623,0.90625,0.2776946446750377
0.6666666666666666,0.7333333333333333,19,0.6999536589441487,0.9473684210526315,0.2474147621084828
0.7333333333333333,0.8,18,0.7675375614840685,0.6666666666666666,0.10087089481740186
0.8,0.8666666666666667,21,0.836981833102771,0.8571428571428571,0.02016102404008613
0.8666666666666667,0.9333333333333333,48,0.9072675471521382,0.8958333333333334,0.011434213818804828
0.9333333333333333,1.0,254,0.9889203292711082,0.9330708661417323,0.05584946312937589
