bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,6,0.3119844038172181,0.5,0.1880155961827819
0.3333333333333333,0.4,20,0.3656143820785017,0.5,0.13438561792149828
0.4,0.4666666666666667,23,0.43341677292045633,0.4782608695652174,0.04484409664476108
0.4666666666666667,0.5333333333333333,55,0.5031501710647107,0.509090909090909,0.005940738026198322
0.5333333333333333,0.6,33,0.5571235284350057,0.696969696969697,0.13984616853469134
0.6,0.6666666666666666,25,0.6313518705801433,0.48,0.15135187058014332
0.6666666666666666,0.7333333333333333,13,0.702876742294894,0.9230769230769231,0.22020018078202908
0.7333333333333333,0.8,39,0.7645940982035889,0.9230769230769231,0.1584828248733342
0.8,0.8666666666666667,10,0.8244900293883785,0.4,0.42449002938837843
0.8666666666666667,0.9333333333333333,22,0.9059048676473779,0.8636363636363636,0.04226850401101423
0.9333333333333333,1.0,234,0.9861587198835995,0.9914529914529915,0.005294271569391995
