bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,0,,,
0.3333333333333333,0.4,7,0.3860867780401976,0.5714285714285714,0.1853417933883738
0.4,0.4666666666666667,21,0.433968013746063,0.7619047619047619,0.3279367481586989
0.4666666666666667,0.5333333333333333,69,0.5082209048162585,0.7536231884057971,0.24540228358953864
0.5333333333333333,0.6,63,0.5658685704349973,0.7301587301587301,0.16429015972373284
0.6,0.6666666666666666,60,0.6339243867138387,0.75,0.11607561328616134
0.6666666666666666,0.7333333333333333,47,0.7010340223966278,0.9148936170212766,0.21385959462464876
0.7333333333333333,0.8,50,0.7695371092275927,0.94,0.17046289077240728
0.8,0.8666666666666667,48,0.8342449731622522,0.8541666666666666,0.019921693504414417
0.8666666666666667,0.9333333333333333,67,0.9042602152729285,0.9552238805970149,0.05096366532408636
0.9333333333333333,1.0,129,0.9684553291607731,0.9689922480620154,0.0005369189012423004
