bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,2,0.32004176007401497,0.5,0.17995823992598503
0.3333333333333333,0.4,30,0.3715416351364124,0.4666666666666667,0.09512503153025426
0.4,0.4666666666666667,26,0.4318755282977867,0.4230769230769231,0.00879860522086362
0.4666666666666667,0.5333333333333333,42,0.49989291290845744,0.7857142857142857,0.28582137280582826
0.5333333333333333,0.6,25,0.5677072159997297,0.68,0.11229278400027032
0.6,0.6666666666666666,12,0.6355091360353298,0.8333333333333334,0.1978241972980036
0.6666666666666666,0.7333333333333333,11,0.6966547595713724,0.8181818181818182,0.12152705861044588
0.7333333333333333,0.8,32,0.7699940409825476,0.96875,0.19875595901745235
0.8,0.8666666666666667,8,0.8245779331465218,0.75,0.07457793314652184
0.8666666666666667,0.9333333333333333,75,0.8808508369492978,0.9733333333333334,0.0924824963840356
0.9333333333333333,1.0,200,0.9894106310401066,1.0,0.010589368959893375
