bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,1,0.26474377334929566,0.0,0.26474377334929566
0.26666666666666666,0.3333333333333333,9,0.31190017422069316,0.6666666666666666,0.35476649244597347
0.3333333333333333,0.4,24,0.3572887325767753,0.375,0.017711267423224708
0.4,0.4666666666666667,22,0.432421921837355,0.2727272727272727,0.1596946491100823
0.4666666666666667,0.5333333333333333,75,0.5004049698663467,0.8,0.2995950301336533
0.5333333333333333,0.6,24,0.5588849584294088,0.7083333333333334,0.1494483749039246
0.6,0.6666666666666666,14,0.6320189203894854,0.8571428571428571,0.22512393675337172
0.6666666666666666,0.7333333333333333,13,0.7037962816797063,0.5384615384615384,0.16533474321816788
0.7333333333333333,0.8,8,0.7742977664405679,0.875,0.10070223355943209
0.8,0.8666666666666667,4,0.8358466854040304,1.0,0.1641533145959696
0.8666666666666667,0.9333333333333333,7,0.9064547449413869,0.7142857142857143,0.1921690306556726
0.9333333333333333,1.0,279,0.9895662088167785,0.989247311827957,0.0003188969888214821
