bin_low,bin_high,count,avg_conf,accuracy,gap
0.0,0.06666666666666667,0,,,
0.06666666666666667,0.13333333333333333,0,,,
0.13333333333333333,0.2,0,,,
0.2,0.26666666666666666,0,,,
0.26666666666666666,0.3333333333333333,3,0.32094470612873627,0.6666666666666666,0.34572196053793036
0.3333333333333333,0.4,36,0.3672774102904762,0.5555555555555556,0.18827814526507936
0.4,0.4666666666666667,54,0.4286139740884779,0.6666666666666666,0.23805269257818873
0.4666666666666667,0.5333333333333333,127,0.5084574121491615,0.7637795275590551,0.2553221154098936
0.5333333333333333,0.6,102,0.5628417062741845,0.8921568627450981,0.3293151564709136
0.6,0.6666666666666666,121,0.6443485589712323,0.9008264462809917,0.2564778873097594
0.6666666666666666,0.7333333333333333,71,0.6809498406862924,0.9154929577464789,0.2345431170601865
0.7333333333333333,0.8,14,0.7561899479034361,0.7857142857142857,0.02952433781084962
0.8,0.8666666666666667,13,0.8374257142964497,0.7692307692307693,0.06819494506568047
0.8666666666666667,0.9333333333333333,9,0.8984654720642745,0.8888888888888888,0.009576583175385678
0.9333333333333333,1.0,11,0.9786845228794129,0.8181818181818182,0.16050270469759464
