condition_A,condition_B,metric,delta,ci_low,ci_high,boot_p,ci_excludes_zero,sig_bonferroni,mcnemar_p,mcnemar_sig_bonferroni,n_units,only_A_correct,only_B_correct
v3c_roi_baseline_seed42,v3c_dann_seed42,accuracy,0.24622030237580994,0.19654427645788342,0.29589632829373647,0.0,True,True,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_dann_seed42,macro_f1,0.17650907691712248,0.11907780748447169,0.23458831351408305,0.0,True,True,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_dann_seed42,f1_Normal,0.07547169811320764,-0.04447058823529407,0.1988189978009811,0.238,False,False,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_dann_seed42,f1_Cyst,0.2949542483660131,0.2028793815301651,0.39379380457983415,0.0,True,True,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_dann_seed42,f1_Tumor,0.26292713889974817,0.21340499925747183,0.31630062989162017,0.0,True,True,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_dann_seed42,f1_Stone,0.07268322228952151,-0.0028077421477963266,0.14898565322866617,0.057,False,False,6.923141416918716e-18,True,463,143,29
v3c_roi_baseline_seed42,v3c_mh_both_seed42,accuracy,0.05399568034557234,0.017278617710583144,0.09287257019438444,0.003,True,False,0.007660761135179461,False,463,53,28
v3c_roi_baseline_seed42,v3c_mh_both_seed42,macro_f1,0.03949016389143434,-0.013190441776998385,0.09168776341404108,0.146,False,False,0.007660761135179461,False,463,53,28
v3c_roi_baseline_seed42,v3c_mh_both_seed42,f1_Normal,-0.07220609579100135,-0.185200364298725,0.03808814155364348,0.201,False,False,0.007660761135179461,False,463,53,28
v3c_roi_baseline_seed42,v3c_mh_both_seed42,f1_Cyst,0.14033789616475523,0.04383780271382771,0.24658002362334316,0.002,True,False,0.007660761135179461,False,463,53,28
v3c_roi_baseline_seed42,v3c_mh_both_seed42,f1_Tumor,0.055640821003949514,0.028517564150395927,0.08416118031721138,0.0,True,True,0.007660761135179461,False,463,53,28
v3c_roi_baseline_seed42,v3c_mh_both_seed42,f1_Stone,0.03418803418803429,-0.038692332837953015,0.1129337675652287,0.347,False,False,0.007660761135179461,False,463,53,28
v3c_focal_seed42,v3c_dann_seed42,accuracy,0.24190064794816413,0.1943844492440604,0.29157667386609065,0.0,True,True,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_dann_seed42,macro_f1,0.19159589055372928,0.13771351982977864,0.2448007354188314,0.0,True,True,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_dann_seed42,f1_Normal,0.2356483340024087,0.13086919801170055,0.34567619790930687,0.0,True,True,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_dann_seed42,f1_Cyst,0.1834074074074074,0.07879339919173779,0.29182460347602257,0.001,True,False,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_dann_seed42,f1_Tumor,0.23709160033266008,0.18798622888225475,0.28860279738798744,0.0,True,True,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_dann_seed42,f1_Stone,0.11023622047244086,0.04757703081232487,0.17873513052529913,0.002,True,False,6.97764542491896e-18,True,463,139,27
v3c_focal_seed42,v3c_mh_both_seed42,accuracy,0.049676025917926525,0.01943844492440605,0.07996760259179239,0.002,True,False,0.00301230545074549,False,463,39,16
v3c_focal_seed42,v3c_mh_both_seed42,macro_f1,0.05457697752804114,0.012737550385612775,0.09887673411341587,0.011,True,False,0.00301230545074549,False,463,39,16
v3c_focal_seed42,v3c_mh_both_seed42,f1_Normal,0.08797054009819971,0.008967864923747246,0.17410044026738591,0.026,True,False,0.00301230545074549,False,463,39,16
v3c_focal_seed42,v3c_mh_both_seed42,f1_Cyst,0.02879105520614955,-0.0538746499875978,0.1066489147324242,0.484,False,False,0.00301230545074549,False,463,39,16
v3c_focal_seed42,v3c_mh_both_seed42,f1_Tumor,0.029805282436861424,0.006412691473764695,0.05308242788111531,0.011,True,False,0.00301230545074549,False,463,39,16
v3c_focal_seed42,v3c_mh_both_seed42,f1_Stone,0.07174103237095364,0.012241805813234419,0.14195909862300057,0.012,True,False,0.00301230545074549,False,463,39,16
v3c_dann_seed42,v3c_mh_both_seed42,accuracy,-0.1922246220302376,-0.24406047516198703,-0.14254859611231108,0.0,True,True,5.4746340828399455e-12,True,463,37,126
v3c_dann_seed42,v3c_mh_both_seed42,macro_f1,-0.13701891302568814,-0.1934253739817409,-0.07859311569382135,0.0,True,True,5.4746340828399455e-12,True,463,37,126
v3c_dann_seed42,v3c_mh_both_seed42,f1_Normal,-0.147677793904209,-0.2587930161943319,-0.028954606714040716,0.013,True,False,5.4746340828399455e-12,True,463,37,126
v3c_dann_seed42,v3c_mh_both_seed42,f1_Cyst,-0.15461635220125786,-0.2559232762191188,-0.056166479488147174,0.003,True,False,5.4746340828399455e-12,True,463,37,126
v3c_dann_seed42,v3c_mh_both_seed42,f1_Tumor,-0.20728631789579866,-0.2580646289362476,-0.1570538890530898,0.0,True,True,5.4746340828399455e-12,True,463,37,126
v3c_dann_seed42,v3c_mh_both_seed42,f1_Stone,-0.03849518810148722,-0.12244757632289523,0.049756001387515396,0.365,False,False,5.4746340828399455e-12,True,463,37,126
