condition,n_observations,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std,f1_Normal_mean,f1_Normal_std,f1_Cyst_mean,f1_Cyst_std,f1_Tumor_mean,f1_Tumor_std,f1_Stone_mean,f1_Stone_std
RN50_full,15,0.7367454627839571,0.03703872178242437,0.711903704826158,0.05139368213541956,0.9099089466786994,0.03145854184631797,0.6988589497002974,0.0725294008436713,0.4535298398907299,0.14322037245668753,0.8075387574624663,0.026721926527308544,0.8876872722511382,0.039968395811562245
RN50_roi,15,0.7136171156864286,0.051697584435643346,0.6996546156631247,0.051536776825886754,0.902305520622222,0.03509482996226892,0.6260723338213652,0.10388396086355639,0.6164205962807593,0.07734582105490785,0.8282341174267456,0.03638986077044164,0.727891415123629,0.08266179194533581
CBAM_full,15,0.683765806540063,0.048394231689455225,0.6455493830746831,0.07159089586713234,0.8834554839559294,0.03210482704580654,0.5877603243870317,0.10088350399575939,0.46169059438277366,0.1620258811031547,0.7940813801375562,0.030790753362403774,0.7386652333913702,0.1002177679972455
CBAM_roi,15,0.675742455165748,0.040825340204687005,0.6597855403775187,0.03903563073672835,0.8960320139551355,0.02971613042602448,0.5367198109960839,0.08666239634638227,0.5968665729457103,0.09905686024487145,0.8124721679128886,0.037537876293399074,0.6930836096553917,0.062272909070232564
ViT_full,15,0.7087928353641367,0.04853203260632647,0.6792194279802316,0.05771062146808423,0.8922865174951423,0.038052726972481875,0.6692621776126843,0.08161401847623073,0.4161570678877923,0.15040439558380417,0.7881476669396558,0.0337389713359017,0.8433107994807945,0.05171534343894651
ViT_roi,15,0.6885187549691613,0.039721536046342196,0.6623824332134777,0.045695588721168696,0.9083923055685604,0.022337299035674878,0.5572943820898182,0.0782738718636081,0.5841720979591185,0.15128499384444763,0.8313178657953237,0.03533177696609711,0.67674538700965,0.09096390781060636
