condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
v2_roi_run1,fold_0,101,0.8514851485148515,0.8023382867132867,0.9644834034516844,0.6666666666666666,0.7878787878787878,0.9423076923076923,0.8125,0
v2_roi_run1,fold_1,89,0.9213483146067416,0.8755865363665832,0.9850845349993957,0.7777777777777778,0.8571428571428571,0.970873786407767,0.896551724137931,1
v2_roi_run1,fold_2,95,0.9052631578947369,0.8757179227767462,0.9812638229714469,0.8235294117647058,0.8108108108108109,0.9454545454545454,0.9230769230769231,2
v2_roi_run1,fold_3,98,0.8163265306122449,0.737566136644968,0.9705212261392779,0.6086956521739131,0.6153846153846154,0.9026548672566371,0.8235294117647058,3
v2_roi_run1,fold_4,97,0.7835051546391752,0.7095541493296348,0.9339698918967212,0.5714285714285714,0.6875,0.912621359223301,0.6666666666666666,4
