condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
v3c_roi_baseline_seed42,fold_0,86,0.8953488372093024,0.8820362872994452,0.9791340933486579,0.8421052631578947,0.8,0.9230769230769231,0.9629629629629629,0
v3c_roi_baseline_seed42,fold_1,94,0.925531914893617,0.8881246218995765,0.989830960172485,0.8,0.8275862068965517,0.9649122807017544,0.96,1
v3c_roi_baseline_seed42,fold_2,94,0.7978723404255319,0.6998917748917749,0.9667782910904277,0.5,0.5333333333333333,0.9090909090909091,0.8571428571428571,2
v3c_roi_baseline_seed42,fold_3,96,0.8958333333333334,0.8791449440642989,0.9872290038404592,0.9166666666666666,0.7096774193548387,0.9272727272727272,0.9629629629629629,3
v3c_roi_baseline_seed42,fold_4,93,0.8602150537634409,0.8020186335403726,0.9774058200463389,0.6956521739130435,0.7142857142857143,0.9285714285714286,0.8695652173913043,4
