condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
v2_run1,fold_0,115,0.8434782608695652,0.79524392881062,0.9559225511336883,0.8205128205128205,0.5925925925925926,0.8983050847457628,0.8695652173913043,0
v2_run1,fold_1,108,0.8518518518518519,0.7918718294115961,0.9499586833748761,0.918918918918919,0.43478260869565216,0.8869565217391304,0.926829268292683,1
v2_run1,fold_2,113,0.8672566371681416,0.8387844611528822,0.9617146954128715,0.8095238095238095,0.7333333333333333,0.9122807017543859,0.9,2
v2_run1,fold_3,113,0.8495575221238938,0.8322843822843822,0.9538148103816306,0.9047619047619048,0.6285714285714286,0.8727272727272727,0.9230769230769231,3
v2_run1,fold_4,112,0.8303571428571429,0.7723414013636973,0.9519297191517369,0.8260869565217391,0.5185185185185185,0.9026548672566371,0.8421052631578947,4
