condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
v3c_dann_seed42,fold_0,113,0.7256637168141593,0.7604382646866537,0.9533934494526672,0.8837209302325582,0.5333333333333333,0.6746987951807228,0.95,0
v3c_dann_seed42,fold_1,112,0.7589285714285714,0.7198945981554677,0.897373496135059,0.782608695652174,0.36363636363636365,0.8,0.9333333333333333,1
v3c_dann_seed42,fold_2,113,0.7256637168141593,0.6758674183661886,0.9198014517591933,0.6666666666666666,0.5641025641025641,0.8411214953271028,0.631578947368421,2
v3c_dann_seed42,fold_3,111,0.42342342342342343,0.41177820250472386,0.8387423606450555,0.5106382978723404,0.3548387096774194,0.4691358024691358,0.3125,3
v3c_dann_seed42,fold_4,112,0.5535714285714286,0.5875955068993044,0.8635128455226933,0.7027027027027027,0.3333333333333333,0.4810126582278481,0.8333333333333334,4
