condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
vit_roi_run1,fold_0,101,0.7722772277227723,0.6785751511361268,0.9484867808025739,0.4878048780487805,0.6666666666666666,0.9444444444444444,0.6153846153846154,0
vit_roi_run1,fold_1,89,0.7752808988764045,0.6723514972999508,0.9842417948687299,0.5142857142857142,0.56,0.9484536082474226,0.6666666666666666,1
vit_roi_run1,fold_2,95,0.7789473684210526,0.6626360121783462,0.9634993901004448,0.5217391304347826,0.37037037037037035,0.9122807017543859,0.8461538461538461,2
vit_roi_run1,fold_3,98,0.826530612244898,0.745000665690321,0.9570397534740754,0.5714285714285714,0.6896551724137931,0.918918918918919,0.8,3
vit_roi_run1,fold_4,97,0.7731958762886598,0.6857702823345608,0.9475034619851692,0.41379310344827586,0.75,0.912621359223301,0.6666666666666666,4
