condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
vit_full_run1,fold_0,115,0.8173913043478261,0.8177121897710133,0.9675708770706264,0.9333333333333333,0.5909090909090909,0.8235294117647058,0.9230769230769231,0
vit_full_run1,fold_1,108,0.8425925925925926,0.7729902415147001,0.9639239269281191,0.8571428571428571,0.45454545454545453,0.896551724137931,0.8837209302325582,1
vit_full_run1,fold_2,113,0.8584070796460177,0.8084379190936567,0.9142530138485601,0.8888888888888888,0.5384615384615384,0.9016393442622951,0.9047619047619048,2
vit_full_run1,fold_3,113,0.8407079646017699,0.8082526488856412,0.9754410607402026,0.8695652173913043,0.6470588235294118,0.8928571428571429,0.8235294117647058,3
vit_full_run1,fold_4,112,0.8392857142857143,0.8034770089073526,0.9722946973026014,0.7441860465116279,0.7647058823529411,0.9245283018867925,0.7804878048780488,4
