condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
v3c_rn50_baseline_seed42,fold_0,113,0.8938053097345132,0.8701149425287356,0.9623017097974653,0.95,0.6666666666666666,0.9137931034482759,0.95,0
v3c_rn50_baseline_seed42,fold_1,112,0.8392857142857143,0.7976503759398497,0.9465276370545658,0.95,0.42857142857142855,0.8596491228070176,0.9523809523809523,1
v3c_rn50_baseline_seed42,fold_2,113,0.8584070796460177,0.8013716988569176,0.9405458245464471,0.8,0.56,0.9152542372881356,0.9302325581395349,2
v3c_rn50_baseline_seed42,fold_3,111,0.8648648648648649,0.834449637272322,0.9684325692193299,0.8695652173913043,0.7272727272727273,0.9174311926605505,0.8235294117647058,3
v3c_rn50_baseline_seed42,fold_4,112,0.7946428571428571,0.7925120235401754,0.9410970120565495,0.8947368421052632,0.5581395348837209,0.8080808080808081,0.9090909090909091,4
