condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone,fold
cbam_roi_run1,fold_0,101,0.7722772277227723,0.6559923399191849,0.9173586115429148,0.23076923076923078,0.7586206896551724,0.9345794392523364,0.7,0
cbam_roi_run1,fold_1,89,0.8314606741573034,0.7405555555555556,0.9714189023167351,0.5555555555555556,0.6666666666666666,0.94,0.8,1
cbam_roi_run1,fold_2,95,0.8421052631578947,0.7307813154587348,0.964913139756353,0.42857142857142855,0.7272727272727273,0.9285714285714286,0.8387096774193549,2
cbam_roi_run1,fold_3,98,0.7959183673469388,0.703125,0.9603817989689991,0.5,0.7142857142857143,0.9107142857142857,0.6875,3
cbam_roi_run1,fold_4,97,0.8041237113402062,0.7059848484848484,0.9336158759939248,0.48,0.6666666666666666,0.9272727272727272,0.75,4
