condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.8100017200913749,0.8229824323130579,-0.01298071222168289,-0.515991320504601,0.6330719535326558,no,no
RN50_full,CBAM_full,0.8100017200913749,0.8014200194428127,0.008581700648562207,0.3365853130095988,0.7533471183776724,no,no
RN50_full,CBAM_roi,0.8100017200913749,0.8067283926413704,0.003273327450004526,0.1158832721242029,0.9133298463159424,no,no
RN50_full,ViT_full,0.8100017200913749,0.7932431861893121,0.016758533902062833,0.5933037905107152,0.5848992491252932,no,no
RN50_full,ViT_roi,0.8100017200913749,0.8311652702010847,-0.02116355010970965,-0.8264191287604254,0.45501077649566507,no,no
RN50_roi,CBAM_full,0.8229824323130579,0.8014200194428127,0.021562412870245094,0.826292845886166,0.4550746435353299,no,no
RN50_roi,CBAM_roi,0.8229824323130579,0.8067283926413704,0.016254039671687415,1.3692209698691464,0.24277431520828782,no,no
RN50_roi,ViT_full,0.8229824323130579,0.7932431861893121,0.029739246123745722,1.466872447961624,0.21630506499186894,no,no
RN50_roi,ViT_roi,0.8229824323130579,0.8311652702010847,-0.008182837888026762,-0.8256639838121704,0.45539279387358805,no,no
CBAM_full,CBAM_roi,0.8014200194428127,0.8067283926413704,-0.005308373198557681,-0.19270003473727107,0.8565822437501316,no,no
CBAM_full,ViT_full,0.8014200194428127,0.7932431861893121,0.008176833253500626,0.7354568296664689,0.5028561875306062,no,no
CBAM_full,ViT_roi,0.8014200194428127,0.8311652702010847,-0.029745250758271856,-1.3906650201913204,0.23669833397407744,no,no
CBAM_roi,ViT_full,0.8067283926413704,0.7932431861893121,0.013485206452058307,0.5451190262801675,0.6146421453928539,no,no
CBAM_roi,ViT_roi,0.8067283926413704,0.8311652702010847,-0.024436877559714177,-1.2393471244162897,0.2829641758392242,no,no
ViT_full,ViT_roi,0.7932431861893121,0.8311652702010847,-0.03792208401177248,-2.6479319538047146,0.05710499099695235,no,no
