metric,condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
accuracy,RN50_full,RN50_roi,0.7360960983682368,0.7180511808545951,0.018044917513641612,1.7455561238166848,0.15582302434735565,no,no
accuracy,RN50_full,CBAM_full,0.7360960983682368,0.6888954815621922,0.04720061680604466,2.144896877320557,0.09854439352774685,no,no
accuracy,RN50_full,CBAM_roi,0.7360960983682368,0.6640927805467821,0.07200331782145475,3.315264822903688,0.029508799607326972,yes,no
accuracy,RN50_full,ViT_full,0.7360960983682368,0.7165799320659563,0.019516166302280546,0.8657534481325997,0.4354636908663272,no,no
accuracy,RN50_full,ViT_roi,0.7360960983682368,0.6862400632472181,0.04985603512101879,3.0599852976588466,0.03765903703640373,yes,no
accuracy,RN50_roi,CBAM_full,0.7180511808545951,0.6888954815621922,0.029155699292403046,1.40931863736422,0.23153571946968257,no,no
accuracy,RN50_roi,CBAM_roi,0.7180511808545951,0.6640927805467821,0.05395840030781314,2.3918075962505743,0.07502035684690544,no,no
accuracy,RN50_roi,ViT_full,0.7180511808545951,0.7165799320659563,0.0014712487886389346,0.06862199266588599,0.9485839337058551,no,no
accuracy,RN50_roi,ViT_roi,0.7180511808545951,0.6862400632472181,0.03181111760737718,2.373862297422847,0.07649850578832267,no,no
accuracy,CBAM_full,CBAM_roi,0.6888954815621922,0.6640927805467821,0.02480270101541009,1.1208713521105829,0.3250875922299857,no,no
accuracy,CBAM_full,ViT_full,0.6888954815621922,0.7165799320659563,-0.027684450503764113,-2.2420836036907787,0.08841742081970698,no,no
accuracy,CBAM_full,ViT_roi,0.6888954815621922,0.6862400632472181,0.002655418314974134,0.11266095999657871,0.9157269675328359,no,no
accuracy,CBAM_roi,ViT_full,0.6640927805467821,0.7165799320659563,-0.0524871515191742,-2.4404401227374284,0.07117463598913884,no,no
accuracy,CBAM_roi,ViT_roi,0.6640927805467821,0.6862400632472181,-0.022147282700435957,-1.215836483031867,0.2908928388975476,no,no
accuracy,ViT_full,ViT_roi,0.7165799320659563,0.6862400632472181,0.030339868818738246,1.0851185927891476,0.3388935461841288,no,no
macro_f1,RN50_full,RN50_roi,0.7146235568453596,0.7061539633011048,0.008469593544254871,0.6463175473062894,0.5532866573782178,no,no
macro_f1,RN50_full,CBAM_full,0.7146235568453596,0.6449544204924476,0.06966913635291198,2.4120382852127977,0.07339262622475354,no,no
macro_f1,RN50_full,CBAM_roi,0.7146235568453596,0.6517608147824576,0.06286274206290196,4.532018797116132,0.01056108641303134,yes,no
macro_f1,RN50_full,ViT_full,0.7146235568453596,0.6959181303861894,0.01870542645917006,0.8371053409675212,0.4496320457579598,no,no
macro_f1,RN50_full,ViT_roi,0.7146235568453596,0.6619897393180101,0.052633817527349434,3.1346598296450017,0.03502750184149375,yes,no
macro_f1,RN50_roi,CBAM_full,0.7061539633011048,0.6449544204924476,0.061199542808657116,1.9346494082931547,0.12514455925786036,no,no
macro_f1,RN50_roi,CBAM_roi,0.7061539633011048,0.6517608147824576,0.05439314851864709,2.5692876681265218,0.0620254834156248,no,no
macro_f1,RN50_roi,ViT_full,0.7061539633011048,0.6959181303861894,0.010235832914915189,0.41738361224913256,0.6978271589996631,no,no
macro_f1,RN50_roi,ViT_roi,0.7061539633011048,0.6619897393180101,0.04416422398309457,2.390283333173434,0.0751446450003328,no,no
macro_f1,CBAM_full,CBAM_roi,0.6449544204924476,0.6517608147824576,-0.006806394290010021,-0.23180842076810868,0.8280629110669538,no,no
macro_f1,CBAM_full,ViT_full,0.6449544204924476,0.6959181303861894,-0.050963709893741924,-4.106308294434097,0.014776639402195238,yes,no
macro_f1,CBAM_full,ViT_roi,0.6449544204924476,0.6619897393180101,-0.01703531882556255,-0.5280802470515716,0.6253826560865572,no,no
macro_f1,CBAM_roi,ViT_full,0.6517608147824576,0.6959181303861894,-0.04415731560373191,-2.111758669117553,0.10228745926381291,no,no
macro_f1,CBAM_roi,ViT_roi,0.6517608147824576,0.6619897393180101,-0.01022892453555253,-0.7015394062067307,0.5216358189966244,no,no
macro_f1,ViT_full,ViT_roi,0.6959181303861894,0.6619897393180101,0.033928391068179374,1.248628569839457,0.2798910256159945,no,no
macro_auc,RN50_full,RN50_roi,0.9182969355381921,0.8986304556504614,0.019666479887730626,1.559632057460345,0.19385866138710683,no,no
macro_auc,RN50_full,CBAM_full,0.9182969355381921,0.8898031506421656,0.028493784896026563,3.667587704648231,0.021436595794127326,yes,no
macro_auc,RN50_full,CBAM_roi,0.9182969355381921,0.884997536435663,0.03329939910252897,6.757419162949221,0.0025011508163405387,yes,yes
macro_auc,RN50_full,ViT_full,0.9182969355381921,0.9000404367882293,0.018256498749962692,1.09688776672788,0.3342911918091982,no,no
macro_auc,RN50_full,ViT_roi,0.9182969355381921,0.9020116592417662,0.016285276296426066,3.308203636051298,0.0297043285079252,yes,no
macro_auc,RN50_roi,CBAM_full,0.8986304556504614,0.8898031506421656,0.008827305008295937,0.8852861892613817,0.4260128948148276,no,no
macro_auc,RN50_roi,CBAM_roi,0.8986304556504614,0.884997536435663,0.013632919214798344,1.195111819186867,0.29805563722777884,no,no
