source,class,v2_full,v2_roi,delta_roi_vs_full
kauh,Cyst,0.9961977186311787,1.0,0.0038022813688213253
kits,Cyst,0.43829962855963683,0.5766923736075407,0.13839274504790383
kits,Normal,0.20185185185185187,0.512241054613936,0.31038920276208415
kits,Tumor,0.48019559902200487,0.5211442786069652,0.040948679584960346
mendeley,Normal,0.8902173913043478,0.7557840616966581,-0.13443332960768972
mendeley,Stone,0.8968335035750766,0.744060475161987,-0.1527730284130896
tcga,Tumor,0.9624060150375939,1.0,0.03759398496240607
