condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.47896868359203815,0.6291067639906003,-0.15013808039856216,-5.208120905562146,0.0064799603789674485,yes,no
RN50_full,CBAM_full,0.47896868359203815,0.43363961991972444,0.04532906367231373,1.0020069002020942,0.37304021812042315,no,no
RN50_full,CBAM_roi,0.47896868359203815,0.5845722120451106,-0.1056035284530725,-3.8142490100049375,0.018871168423677476,yes,no
RN50_full,ViT_full,0.47896868359203815,0.4806514038285439,-0.0016827202365057026,-0.036871868198794504,0.9723539286477308,no,no
RN50_full,ViT_roi,0.47896868359203815,0.6028927936377966,-0.12392411004575847,-1.9000855416262468,0.13022600293334288,no,no
RN50_roi,CBAM_full,0.6291067639906003,0.43363961991972444,0.1954671440708759,4.841481153021636,0.008391063094595759,yes,no
RN50_roi,CBAM_roi,0.6291067639906003,0.5845722120451106,0.04453455194548965,1.4995193690992517,0.208118153918928,no,no
RN50_roi,ViT_full,0.6291067639906003,0.4806514038285439,0.14845536016205646,3.3047926983166676,0.029799328318962252,yes,no
RN50_roi,ViT_roi,0.6291067639906003,0.6028927936377966,0.026213970352803685,0.5048266411066783,0.6402235029551878,no,no
CBAM_full,CBAM_roi,0.43363961991972444,0.5845722120451106,-0.15093259212538623,-3.029103578970991,0.03881467550263561,yes,no
CBAM_full,ViT_full,0.43363961991972444,0.4806514038285439,-0.04701178390881943,-2.9651072216086067,0.041344372979612846,yes,no
CBAM_full,ViT_roi,0.43363961991972444,0.6028927936377966,-0.1692531737180722,-3.1685080318780767,0.03390624432490944,yes,no
CBAM_roi,ViT_full,0.5845722120451106,0.4806514038285439,0.1039208082165668,1.8043841093052773,0.14549439784114251,no,no
CBAM_roi,ViT_roi,0.5845722120451106,0.6028927936377966,-0.01832058159268597,-0.3501383413718908,0.7438944249651356,no,no
ViT_full,ViT_roi,0.4806514038285439,0.6028927936377966,-0.12224138980925277,-1.807762344316349,0.14492387154031258,no,no
