held_out,n_images,n_patients,n_classes_present,accuracy,balanced_acc,macro_f1_present,majority_baseline,in_dist_val_acc,shortcut_margin,pred_into_absent
abdalla,3364,201,2,0.0017835909631391202,0.0016787912702853946,0.003316749585406302,0.5312128418549346,0.7602459016393442,0.7584623106762052,0.9934601664684899
kauh,190,19,1,0.031578947368421054,0.031578947368421054,0.061224489795918366,1.0,0.775626423690205,0.7440474763217839,0.968421052631579
kits,3000,104,3,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.9736495388669302,0.6403162055335969,0.0
tcga,2370,237,1,0.23037974683544304,0.23037974683544304,0.37448559670781895,1.0,0.8992395437262357,0.6688597968907927,0.769620253164557
